# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;;;;
salmon;1;2014-05-26 01-38-10 UTC;1516424;2533184;62.55;220980;1177936;3460068;41.98;1504784;833248;;firefox;%user;%system
salmon;1;2014-05-26 01-38-11 UTC;1489204;2560404;63.23;221484;1177712;3518752;42.69;1546452;818192;;no lttng;1203.5651041667;2751.1302083333
salmon;1;2014-05-26 01-38-12 UTC;1473688;2575920;63.61;221932;1177452;3583880;43.48;1560488;818000;;lttng;1193.2757295971;2761.4195829029
salmon;1;2014-05-26 01-38-13 UTC;1471996;2577612;63.65;222688;1178852;3581832;43.46;1561152;819744;;;;
salmon;1;2014-05-26 01-38-14 UTC;1467020;2582588;63.77;223400;1180940;3593100;43.6;1564012;822548;;;;
salmon;1;2014-05-26 01-38-15 UTC;1466384;2583224;63.79;223928;1180292;3593100;43.6;1564664;822012;;;;
salmon;1;2014-05-26 01-38-16 UTC;1465020;2584588;63.82;224484;1181052;3594124;43.61;1565296;822944;;;;
salmon;1;2014-05-26 01-38-17 UTC;1454340;2595268;64.09;225240;1179588;3621844;43.94;1577756;820732;;;;
salmon;1;2014-05-26 01-38-18 UTC;1438220;2611388;64.48;225784;1179200;3653852;44.33;1593272;820908;;;;
salmon;1;2014-05-26 01-38-19 UTC;1422052;2627556;64.88;226424;1180396;3668508;44.51;1608124;822304;;;;
salmon;1;2014-05-26 01-38-20 UTC;1412440;2637168;65.12;226852;1184552;3678348;44.63;1613216;826592;;;;
salmon;1;2014-05-26 01-38-21 UTC;1429104;2620504;64.71;227572;1179868;3684140;44.7;1600520;822632;;;;
salmon;1;2014-05-26 01-38-22 UTC;1415304;2634304;65.05;228152;1182204;3686636;44.73;1612424;824884;;;;
salmon;1;2014-05-26 01-38-23 UTC;1401272;2648336;65.4;228352;1181632;3694824;44.83;1626636;823804;;;;
salmon;1;2014-05-26 01-38-24 UTC;1390396;2659212;65.67;228752;1186504;3708260;44.99;1632836;828052;;;;
salmon;1;2014-05-26 01-38-25 UTC;1386132;2663476;65.77;229096;1184900;3713508;45.06;1638640;826296;;;;
salmon;1;2014-05-26 01-38-26 UTC;1384180;2665428;65.82;229096;1183616;3717604;45.11;1642880;823972;;;;
salmon;1;2014-05-26 01-38-27 UTC;1375964;2673644;66.02;229272;1190236;3719716;45.13;1646004;830072;;;;
salmon;1;2014-05-26 01-38-28 UTC;1364864;2684744;66.3;229396;1190372;3741568;45.4;1655984;829796;;;;
salmon;1;2014-05-26 01-38-29 UTC;1341584;2708024;66.87;229856;1192996;3804376;46.16;1676768;831672;;;;
salmon;1;2014-05-26 01-38-30 UTC;1313276;2736332;67.57;230452;1192912;3908940;47.43;1703564;831884;;;;
salmon;1;2014-05-26 01-38-31 UTC;1306632;2742976;67.73;230776;1189996;3920340;47.57;1713468;828440;;;;
salmon;1;2014-05-26 01-38-32 UTC;1289184;2760424;68.17;231212;1194560;3958936;48.03;1727328;832720;;;;
salmon;1;2014-05-26 01-38-33 UTC;1271808;2777800;68.59;231744;1197100;3989900;48.41;1741736;834964;;;;
salmon;1;2014-05-26 01-38-34 UTC;1283092;2766516;68.32;232420;1195156;3978992;48.28;1733608;831968;;;;
salmon;1;2014-05-26 01-38-35 UTC;1282776;2766832;68.32;233016;1195052;3996620;48.49;1733512;831916;;;;
salmon;1;2014-05-26 01-38-36 UTC;1274624;2774984;68.52;233316;1195268;4004620;48.59;1742292;831612;;;;
salmon;1;2014-05-26 01-38-37 UTC;1282952;2766656;68.32;233912;1196384;4029072;48.89;1733272;832384;;;;
salmon;1;2014-05-26 01-38-38 UTC;1240712;2808896;69.36;234468;1200760;4130916;50.12;1771004;836124;;;;
salmon;1;2014-05-26 01-38-39 UTC;1223784;2825824;69.78;234844;1198668;4150296;50.36;1789676;834044;;;;
salmon;1;2014-05-26 01-38-40 UTC;1219492;2830116;69.89;235280;1201764;4149272;50.34;1791496;836448;;;;
salmon;1;2014-05-26 01-38-41 UTC;1204144;2845464;70.27;235844;1202932;4161624;50.49;1806052;837148;;;;
salmon;1;2014-05-26 01-38-42 UTC;1194580;2855028;70.5;236188;1205860;4324372;52.47;1812504;838912;;;;
salmon;1;2014-05-26 01-38-43 UTC;1188384;2861224;70.65;236192;1207344;4169952;50.59;1816080;839948;;;;
salmon;1;2014-05-26 01-38-44 UTC;1188700;2860908;70.65;236192;1208116;4169952;50.59;1816720;840112;;;;
salmon;1;2014-05-26 01-38-45 UTC;1189080;2860528;70.64;236192;1208444;4169952;50.59;1817192;840244;;;;
salmon;1;2014-05-26 01-38-46 UTC;1190872;2858736;70.59;236212;1211020;4177984;50.69;1813852;842116;;;;
salmon;1;2014-05-26 01-38-47 UTC;1196940;2852668;70.44;236620;1209960;4180952;50.73;1809308;840372;;;;
salmon;1;2014-05-26 01-38-48 UTC;1179644;2869964;70.87;236944;1209396;4198604;50.94;1826176;840176;;;;
salmon;1;2014-05-26 01-38-49 UTC;1171288;2878320;71.08;237520;1210368;4206972;51.04;1834600;840664;;;;
salmon;1;2014-05-26 01-38-50 UTC;1158056;2891552;71.4;238224;1214820;4216348;51.16;1843632;844296;;;;
salmon;1;2014-05-26 01-38-51 UTC;1152564;2897044;71.54;238556;1211428;4222716;51.23;1852340;840848;;;;
salmon;1;2014-05-26 01-38-52 UTC;1142256;2907352;71.79;238904;1214200;4231100;51.34;1860460;843036;;;;
salmon;1;2014-05-26 01-38-53 UTC;1136616;2912992;71.93;239432;1212092;4240124;51.45;1867096;841060;;;;
salmon;1;2014-05-26 01-38-54 UTC;1116760;2932848;72.42;239836;1212300;4260988;51.7;1887288;840916;;;;
salmon;1;2014-05-26 01-38-55 UTC;1108480;2941128;72.63;240448;1212332;4268284;51.79;1895764;841312;;;;
salmon;1;2014-05-26 01-38-56 UTC;1108028;2941580;72.64;241000;1215108;4270332;51.81;1894244;843668;;;;
salmon;1;2014-05-26 01-38-57 UTC;1070896;2978712;73.56;241260;1217276;4306300;52.25;1928668;845920;;;;
salmon;1;2014-05-26 01-38-58 UTC;1035480;3014128;74.43;241928;1216232;4371196;53.04;1964212;844908;;;;
salmon;1;2014-05-26 01-38-59 UTC;999236;3050372;75.33;242428;1218556;4374864;53.08;1998872;847484;;;;
salmon;1;2014-05-26 01-39-00 UTC;988564;3061044;75.59;243044;1220440;4393640;53.31;2007220;849716;;;;
salmon;1;2014-05-26 01-39-01 UTC;979700;3069908;75.81;243400;1219380;4395704;53.33;2016584;848728;;;;
salmon;1;2014-05-26 01-39-02 UTC;985088;3064520;75.67;243984;1218816;4395832;53.34;2012268;848040;;;;
salmon;1;2014-05-26 01-39-03 UTC;968764;3080844;76.08;244028;1221384;4411272;53.52;2026076;849460;;;;
salmon;1;2014-05-26 01-39-04 UTC;950976;3098632;76.52;244100;1223560;4424132;53.68;2041236;852232;;;;
salmon;1;2014-05-26 01-39-05 UTC;984948;3064660;75.68;244500;1225456;4414212;53.56;2005060;854044;;;;
salmon;1;2014-05-26 01-39-06 UTC;980416;3069192;75.79;245028;1222148;4417088;53.59;2012428;850800;;;;
salmon;1;2014-05-26 01-39-07 UTC;911960;3137648;77.48;245100;1219948;4514560;54.78;2083120;848708;;;;
salmon;1;2014-05-26 01-39-08 UTC;925916;3123692;77.14;245472;1229436;4494432;54.53;2060068;858080;;;;
salmon;1;2014-05-26 01-39-09 UTC;984784;3064824;75.68;245956;1225740;4488816;54.46;2005264;854308;;;;
# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;;;;
salmon;1;2014-05-26 01-38-10 UTC;1516424;2533184;62.55;220980;1177936;3460068;41.98;1504784;833248;;;;
salmon;1;2014-05-26 01-38-11 UTC;1489204;2560404;63.23;221484;1177712;3518752;42.69;1546452;818192;;;;
salmon;1;2014-05-26 01-38-12 UTC;1473688;2575920;63.61;221932;1177452;3583880;43.48;1560488;818000;;;;
salmon;1;2014-05-26 01-38-13 UTC;1471996;2577612;63.65;222688;1178852;3581832;43.46;1561152;819744;;;;
salmon;1;2014-05-26 01-38-14 UTC;1467020;2582588;63.77;223400;1180940;3593100;43.6;1564012;822548;;;;
salmon;1;2014-05-26 01-38-15 UTC;1466384;2583224;63.79;223928;1180292;3593100;43.6;1564664;822012;;;;
salmon;1;2014-05-26 01-38-16 UTC;1465020;2584588;63.82;224484;1181052;3594124;43.61;1565296;822944;;;;
salmon;1;2014-05-26 01-38-17 UTC;1454340;2595268;64.09;225240;1179588;3621844;43.94;1577756;820732;;;;
salmon;1;2014-05-26 01-38-18 UTC;1438220;2611388;64.48;225784;1179200;3653852;44.33;1593272;820908;;;;
salmon;1;2014-05-26 01-38-19 UTC;1422052;2627556;64.88;226424;1180396;3668508;44.51;1608124;822304;;;;
salmon;1;2014-05-26 01-38-20 UTC;1412440;2637168;65.12;226852;1184552;3678348;44.63;1613216;826592;;;;
salmon;1;2014-05-26 01-38-21 UTC;1429104;2620504;64.71;227572;1179868;3684140;44.7;1600520;822632;;;;
salmon;1;2014-05-26 01-38-22 UTC;1415304;2634304;65.05;228152;1182204;3686636;44.73;1612424;824884;;;;
salmon;1;2014-05-26 01-38-23 UTC;1401272;2648336;65.4;228352;1181632;3694824;44.83;1626636;823804;;;;
salmon;1;2014-05-26 01-38-24 UTC;1390396;2659212;65.67;228752;1186504;3708260;44.99;1632836;828052;;;;
salmon;1;2014-05-26 01-38-25 UTC;1386132;2663476;65.77;229096;1184900;3713508;45.06;1638640;826296;;;;
salmon;1;2014-05-26 01-38-26 UTC;1384180;2665428;65.82;229096;1183616;3717604;45.11;1642880;823972;;;;
salmon;1;2014-05-26 01-38-27 UTC;1375964;2673644;66.02;229272;1190236;3719716;45.13;1646004;830072;;;;
salmon;1;2014-05-26 01-38-28 UTC;1364864;2684744;66.3;229396;1190372;3741568;45.4;1655984;829796;;;;
salmon;1;2014-05-26 01-38-29 UTC;1341584;2708024;66.87;229856;1192996;3804376;46.16;1676768;831672;;;;
salmon;1;2014-05-26 01-38-30 UTC;1313276;2736332;67.57;230452;1192912;3908940;47.43;1703564;831884;;;;
salmon;1;2014-05-26 01-38-31 UTC;1306632;2742976;67.73;230776;1189996;3920340;47.57;1713468;828440;;;;
salmon;1;2014-05-26 01-38-32 UTC;1289184;2760424;68.17;231212;1194560;3958936;48.03;1727328;832720;;;;
salmon;1;2014-05-26 01-38-33 UTC;1271808;2777800;68.59;231744;1197100;3989900;48.41;1741736;834964;;;;
salmon;1;2014-05-26 01-38-34 UTC;1283092;2766516;68.32;232420;1195156;3978992;48.28;1733608;831968;;;;
salmon;1;2014-05-26 01-38-35 UTC;1282776;2766832;68.32;233016;1195052;3996620;48.49;1733512;831916;;;;
salmon;1;2014-05-26 01-38-36 UTC;1274624;2774984;68.52;233316;1195268;4004620;48.59;1742292;831612;;;;
salmon;1;2014-05-26 01-38-37 UTC;1282952;2766656;68.32;233912;1196384;4029072;48.89;1733272;832384;;;;
salmon;1;2014-05-26 01-38-38 UTC;1240712;2808896;69.36;234468;1200760;4130916;50.12;1771004;836124;;;;
salmon;1;2014-05-26 01-38-39 UTC;1223784;2825824;69.78;234844;1198668;4150296;50.36;1789676;834044;;;;
salmon;1;2014-05-26 01-38-40 UTC;1219492;2830116;69.89;235280;1201764;4149272;50.34;1791496;836448;;;;
salmon;1;2014-05-26 01-38-41 UTC;1204144;2845464;70.27;235844;1202932;4161624;50.49;1806052;837148;;;;
salmon;1;2014-05-26 01-38-42 UTC;1194580;2855028;70.5;236188;1205860;4324372;52.47;1812504;838912;;;;
salmon;1;2014-05-26 01-38-43 UTC;1188384;2861224;70.65;236192;1207344;4169952;50.59;1816080;839948;;;;
salmon;1;2014-05-26 01-38-44 UTC;1188700;2860908;70.65;236192;1208116;4169952;50.59;1816720;840112;;;;
salmon;1;2014-05-26 01-38-45 UTC;1189080;2860528;70.64;236192;1208444;4169952;50.59;1817192;840244;;;;
salmon;1;2014-05-26 01-38-46 UTC;1190872;2858736;70.59;236212;1211020;4177984;50.69;1813852;842116;;;;
salmon;1;2014-05-26 01-38-47 UTC;1196940;2852668;70.44;236620;1209960;4180952;50.73;1809308;840372;;;;
salmon;1;2014-05-26 01-38-48 UTC;1179644;2869964;70.87;236944;1209396;4198604;50.94;1826176;840176;;;;
salmon;1;2014-05-26 01-38-49 UTC;1171288;2878320;71.08;237520;1210368;4206972;51.04;1834600;840664;;;;
salmon;1;2014-05-26 01-38-50 UTC;1158056;2891552;71.4;238224;1214820;4216348;51.16;1843632;844296;;;;
salmon;1;2014-05-26 01-38-51 UTC;1152564;2897044;71.54;238556;1211428;4222716;51.23;1852340;840848;;;;
salmon;1;2014-05-26 01-38-52 UTC;1142256;2907352;71.79;238904;1214200;4231100;51.34;1860460;843036;;;;
salmon;1;2014-05-26 01-38-53 UTC;1136616;2912992;71.93;239432;1212092;4240124;51.45;1867096;841060;;;;
salmon;1;2014-05-26 01-38-54 UTC;1116760;2932848;72.42;239836;1212300;4260988;51.7;1887288;840916;;;;
salmon;1;2014-05-26 01-38-55 UTC;1108480;2941128;72.63;240448;1212332;4268284;51.79;1895764;841312;;;;
salmon;1;2014-05-26 01-38-56 UTC;1108028;2941580;72.64;241000;1215108;4270332;51.81;1894244;843668;;;;
salmon;1;2014-05-26 01-38-57 UTC;1070896;2978712;73.56;241260;1217276;4306300;52.25;1928668;845920;;;;
salmon;1;2014-05-26 01-38-58 UTC;1035480;3014128;74.43;241928;1216232;4371196;53.04;1964212;844908;;;;
salmon;1;2014-05-26 01-38-59 UTC;999236;3050372;75.33;242428;1218556;4374864;53.08;1998872;847484;;;;
salmon;1;2014-05-26 01-39-00 UTC;988564;3061044;75.59;243044;1220440;4393640;53.31;2007220;849716;;;;
salmon;1;2014-05-26 01-39-01 UTC;979700;3069908;75.81;243400;1219380;4395704;53.33;2016584;848728;;;;
salmon;1;2014-05-26 01-39-02 UTC;985088;3064520;75.67;243984;1218816;4395832;53.34;2012268;848040;;;;
salmon;1;2014-05-26 01-39-03 UTC;968764;3080844;76.08;244028;1221384;4411272;53.52;2026076;849460;;;;
salmon;1;2014-05-26 01-39-04 UTC;950976;3098632;76.52;244100;1223560;4424132;53.68;2041236;852232;;;;
salmon;1;2014-05-26 01-39-05 UTC;984948;3064660;75.68;244500;1225456;4414212;53.56;2005060;854044;;;;
salmon;1;2014-05-26 01-39-06 UTC;980416;3069192;75.79;245028;1222148;4417088;53.59;2012428;850800;;;;
salmon;1;2014-05-26 01-39-07 UTC;911960;3137648;77.48;245100;1219948;4514560;54.78;2083120;848708;;;;
salmon;1;2014-05-26 01-39-08 UTC;925916;3123692;77.14;245472;1229436;4494432;54.53;2060068;858080;;;;
salmon;1;2014-05-26 01-39-09 UTC;984784;3064824;75.68;245956;1225740;4488816;54.46;2005264;854308;;;;
salmon;690;2014-05-26 01-50-39 UTC;1551764;2497844;61.68;250888;1120368;3403936;41.3;1539364;757080;;;;
salmon;1;2014-05-26 01-50-40 UTC;1406924;2642684;65.26;250912;1225088;3548812;43.06;1578368;859756;;;;
salmon;1;2014-05-26 01-50-41 UTC;1372880;2676728;66.1;250924;1225152;3640344;44.17;1612088;859784;;;;
salmon;1;2014-05-26 01-50-42 UTC;1357416;2692192;66.48;250948;1225580;3655804;44.36;1627196;860220;;;;
salmon;1;2014-05-26 01-50-43 UTC;1342884;2706724;66.84;250948;1225640;3710348;45.02;1641568;860396;;;;
salmon;1;2014-05-26 01-50-44 UTC;1337996;2711612;66.96;250976;1225660;3748592;45.48;1646196;860300;;;;
salmon;1;2014-05-26 01-50-45 UTC;1336376;2713232;67;250996;1225664;3749616;45.49;1647696;860320;;;;
salmon;1;2014-05-26 01-50-46 UTC;1335508;2714100;67.02;251008;1225672;3750640;45.51;1648588;860188;;;;
salmon;1;2014-05-26 01-50-47 UTC;1326572;2723036;67.24;251028;1225636;3767028;45.71;1657572;860184;;;;
salmon;1;2014-05-26 01-50-48 UTC;1314396;2735212;67.54;251032;1225648;3779316;45.86;1669924;860128;;;;
salmon;1;2014-05-26 01-50-49 UTC;1311692;2737916;67.61;251040;1225648;3782452;45.89;1672932;859972;;;;
salmon;1;2014-05-26 01-50-50 UTC;1309832;2739776;67.66;251060;1225636;3786548;45.94;1674568;860120;;;;
salmon;1;2014-05-26 01-50-51 UTC;1309320;2740288;67.67;251084;1225668;3786548;45.94;1675356;859800;;;;
salmon;1;2014-05-26 01-50-52 UTC;1309196;2740412;67.67;251088;1226056;3786548;45.94;1675500;860168;;;;
salmon;1;2014-05-26 01-50-53 UTC;1305228;2744380;67.77;251104;1226816;3787140;45.95;1677948;860864;;;;
salmon;1;2014-05-26 01-50-54 UTC;1301932;2747676;67.85;251120;1226824;3813500;46.27;1693952;846772;;;;
salmon;1;2014-05-26 01-50-55 UTC;1297500;2752108;67.96;251148;1227344;3827552;46.44;1698592;846752;;;;
salmon;1;2014-05-26 01-50-56 UTC;1282744;2766864;68.32;251156;1228864;3853972;46.76;1711872;847068;;;;
salmon;1;2014-05-26 01-50-57 UTC;1272000;2777608;68.59;251164;1227780;3870280;46.96;1723872;846480;;;;
salmon;1;2014-05-26 01-50-58 UTC;1248828;2800780;69.16;251180;1237044;3894468;47.25;1737820;855500;;;;
salmon;1;2014-05-26 01-50-59 UTC;1240972;2808636;69.36;251184;1237180;3901780;47.34;1744824;856064;;;;
salmon;1;2014-05-26 01-51-00 UTC;1232596;2817012;69.56;251196;1239384;3908104;47.42;1751720;857920;;;;
salmon;1;2014-05-26 01-51-01 UTC;1214272;2835336;70.02;251216;1241272;3994288;48.46;1767460;859328;;;;
salmon;1;2014-05-26 01-51-02 UTC;1203692;2845916;70.28;251240;1247236;3998400;48.51;1772360;864388;;;;
salmon;1;2014-05-26 01-51-03 UTC;1196196;2853412;70.46;251256;1247516;4023372;48.82;1780036;864964;;;;
salmon;1;2014-05-26 01-51-04 UTC;1181592;2868016;70.82;251260;1248340;4044376;49.07;1793564;865492;;;;
salmon;1;2014-05-26 01-51-05 UTC;1172248;2877360;71.05;251260;1248648;4053568;49.18;1802228;865716;;;;
salmon;1;2014-05-26 01-51-06 UTC;1171256;2878352;71.08;251260;1243796;4058880;49.25;1808132;860588;;;;
salmon;1;2014-05-26 01-51-07 UTC;1167320;2882288;71.17;251268;1243864;4063040;49.3;1812244;860452;;;;
salmon;1;2014-05-26 01-51-08 UTC;1159804;2889804;71.36;251296;1239424;4079748;49.5;1824624;855684;;;;
salmon;1;2014-05-26 01-51-09 UTC;1148136;2901472;71.65;251312;1237424;4091268;49.64;1838432;853724;;;;
salmon;1;2014-05-26 01-51-10 UTC;1144280;2905328;71.74;251312;1238688;4091668;49.64;1841968;854236;;;;
salmon;1;2014-05-26 01-51-11 UTC;1139808;2909800;71.85;251324;1238728;4102036;49.77;1845796;854516;;;;
salmon;1;2014-05-26 01-51-12 UTC;1139112;2910496;71.87;251324;1239268;4103060;49.78;1845164;855040;;;;
salmon;1;2014-05-26 01-51-13 UTC;1139500;2910108;71.86;251324;1239076;4103060;49.78;1845224;854844;;;;
salmon;1;2014-05-26 01-51-14 UTC;1139472;2910136;71.86;251324;1239268;4103060;49.78;1845228;855032;;;;
salmon;1;2014-05-26 01-51-15 UTC;1138916;2910692;71.88;251336;1239584;4103060;49.78;1846120;854904;;;;
salmon;1;2014-05-26 01-51-16 UTC;1140264;2909344;71.84;251356;1239752;4103700;49.79;1844392;855068;;;;
salmon;1;2014-05-26 01-51-17 UTC;1147076;2902532;71.67;251388;1239780;4114644;49.92;1837780;854968;;;;
salmon;1;2014-05-26 01-51-18 UTC;1143396;2906212;71.77;251396;1240112;4117588;49.96;1841440;855236;;;;
salmon;1;2014-05-26 01-51-19 UTC;1144632;2904976;71.73;251436;1240124;4117716;49.96;1840408;855272;;;;
salmon;1;2014-05-26 01-51-20 UTC;1141644;2907964;71.81;251448;1240128;4118524;49.97;1843100;855276;;;;
salmon;1;2014-05-26 01-51-21 UTC;1149580;2900028;71.61;251460;1240124;4118204;49.97;1835056;855256;;;;
salmon;1;2014-05-26 01-51-22 UTC;1137440;2912168;71.91;251472;1240208;4203632;51;1847056;855248;;;;
salmon;1;2014-05-26 01-51-23 UTC;1136960;2912648;71.92;251488;1240476;4203824;51.01;1847416;855728;;;;
salmon;1;2014-05-26 01-51-24 UTC;1137860;2911748;71.9;251508;1240544;4203824;51.01;1846296;855808;;;;
salmon;1;2014-05-26 01-51-25 UTC;1139348;2910260;71.87;251524;1240592;4202928;50.99;1844236;855640;;;;
salmon;1;2014-05-26 01-51-26 UTC;1138356;2911252;71.89;251524;1240556;4202928;50.99;1845320;855680;;;;
salmon;1;2014-05-26 01-51-27 UTC;1139256;2910352;71.87;251532;1240548;4203808;51.01;1844644;855636;;;;
salmon;1;2014-05-26 01-51-28 UTC;1137892;2911716;71.9;251536;1240636;4203936;51.01;1845460;855708;;;;
salmon;1;2014-05-26 01-51-29 UTC;1139504;2910104;71.86;251548;1241256;4203936;51.01;1843536;856296;;;;
salmon;1;2014-05-26 01-51-30 UTC;1138296;2911312;71.89;251556;1242764;4203936;51.01;1844096;857128;;;;
salmon;1;2014-05-26 01-51-31 UTC;1136188;2913420;71.94;251572;1244628;4203552;51;1843960;859364;;;;
salmon;1;2014-05-26 01-51-32 UTC;1131584;2918024;72.06;251572;1247056;4203552;51;1846384;861204;;;;
salmon;1;2014-05-26 01-51-33 UTC;1125064;2924544;72.22;251584;1250228;4224240;51.25;1849860;864988;;;;
salmon;1;2014-05-26 01-51-34 UTC;1117656;2931952;72.4;251592;1251844;4225200;51.27;1855092;866596;;;;
salmon;1;2014-05-26 01-51-35 UTC;1110936;2938672;72.57;251608;1252304;4225584;51.27;1861076;867140;;;;
salmon;1;2014-05-26 01-51-36 UTC;1110068;2939540;72.59;251624;1252700;4225712;51.27;1862140;867472;;;;
salmon;1;2014-05-26 01-51-37 UTC;1160828;2888780;71.33;251632;1248276;4085100;49.57;1814724;863520;;;;
salmon;1;2014-05-26 01-51-38 UTC;1169140;2880468;71.13;251636;1248324;4085100;49.57;1806972;862772;;;;
salmon;1;2014-05-26 01-51-39 UTC;1171468;2878140;71.07;251644;1243820;4087064;49.59;1809060;858304;;;;
;;;1203.5651041667;2751.1302083333;;;;;;;;;;;
;;;1193.2757295971;2761.4195829029;;;;;;;;;;;
